,lat,lon,pred,std
423,53.75,7.75,6.0249066,2.6704433
424,54.25,-10.25,7.5476046,2.6537704
425,54.25,-9.75,7.348296,2.6354327
426,54.25,-9.25,7.160674,2.6237247
427,54.25,-8.75,7.001244,2.6165216
428,54.25,-8.25,6.8851385,2.612182
429,54.25,-7.75,6.8192215,2.6096067
430,54.25,-7.25,6.799399,2.608116
431,54.25,-6.75,6.811363,2.6073036
432,54.25,-6.2500005,6.833868,2.6069229
433,54.25,-5.75,6.8435235,2.6067674
434,54.25,-5.25,6.8202686,2.6066687
435,54.25,-4.75,6.7551303,2.606565
436,54.25,-4.25,6.6522756,2.6065044
437,54.25,-3.75,6.5285163,2.606551
438,54.25,-3.25,6.4073663,2.606775
439,54.25,-2.75,6.3102255,2.607302
440,54.25,-2.25,6.255044,2.6082802
441,54.25,-1.7500001,6.253083,2.6099558
442,54.25,-1.25,6.298868,2.6128044
443,54.25,-0.75,6.379143,2.6174276
444,54.25,-0.25,6.481057,2.6242893
445,54.75,-8.75,6.9401813,2.6245546
446,54.75,-8.25,6.8242326,2.6175015
447,54.75,-7.75,6.7512703,2.6128788
448,54.75,-7.25,6.7143397,2.609904
449,54.75,-6.75,6.698761,2.6080143
450,54.75,-6.2500005,6.6860595,2.6068447
451,54.75,-5.75,6.6569552,2.6061823
452,54.75,-5.25,6.596109,2.6058989
453,54.75,-4.75,6.500334,2.6058996
454,54.75,-4.25,6.3801055,2.606111
455,54.75,-3.75,6.255085,2.6064985
456,54.75,-3.25,6.1467423,2.6071088
457,54.75,-2.75,6.073772,2.6080987
458,54.75,-2.25,6.049873,2.6097438
459,54.75,-1.7500001,6.0779424,2.6125004
460,54.75,-1.25,6.145111,2.6170406
461,54.75,-0.75,6.236275,2.6239827
462,55.25,-8.25,6.8199906,2.6253116
463,55.25,-7.75,6.7363343,2.6179008
464,55.25,-7.25,6.6749268,2.61288
465,55.25,-6.75,6.621255,2.6095538
466,55.25,-6.2500005,6.5597854,2.6074486
467,55.25,-5.75,6.4776707,2.6062799
468,55.25,-5.25,6.3679004,2.6058402
469,55.25,-4.75,6.235898,2.605921
470,55.25,-4.25,6.0995092,2.6063375
471,55.25,-3.75,5.981515,2.606988
472,55.25,-3.25,5.899734,2.6079454
473,55.25,-2.75,5.8646455,2.609479
474,55.25,-2.25,5.8795166,2.612043
475,55.25,-1.7500001,5.9375234,2.6162848
476,55.25,-1.25,6.0223465,2.6229308
477,55.75,-6.2500005,6.4465933,2.608538
478,55.75,-5.75,6.306896,2.6069288
479,55.75,-5.25,6.1470084,2.606396
480,55.75,-4.75,5.9839,2.606541
481,55.75,-4.25,5.84076,2.607077
482,55.75,-3.75,5.7395983,2.6079004
483,55.75,-3.25,5.6920815,2.6091766
484,55.75,-2.75,5.697673,2.6113486
485,55.75,-2.25,5.747668,2.6150649
486,55.75,-1.7500001,5.8284807,2.6210542
487,56.25,-6.75,6.501221,2.6137812
488,56.25,-6.2500005,6.337512,2.6098592
489,56.25,-5.75,6.1459317,2.6079824
490,56.25,-5.25,5.9433846,2.6074402
491,56.25,-4.75,5.758197,2.6076443
492,56.25,-4.25,5.618709,2.6082258
493,56.25,-3.75,5.542168,2.6091318
494,56.25,-3.25,5.5304976,2.6106653
495,56.25,-2.75,5.572375,2.6134572
496,56.75,-7.75,6.7617292,2.63781
497,56.75,-7.25,6.6122375,2.6247878
498,56.75,-6.75,6.4410996,2.616448
499,56.75,-6.2500005,6.23868,2.6117527
500,56.75,-5.75,6.012634,2.60957
501,56.75,-5.25,5.7875834,2.6089127
502,56.75,-4.75,5.5966573,2.6090505
503,56.75,-4.25,5.4677296,2.6095915
504,56.75,-3.75,5.4130864,2.610533
505,56.75,-3.25,5.428281,2.612259
506,56.75,-2.75,5.496308,2.615502
507,56.75,-2.25,5.5941086,2.6212091
508,57.25,-7.25,6.5872507,2.6316206
509,57.25,-6.75,6.3915014,2.6212218
510,57.25,-6.2500005,6.1719346,2.6152768
511,57.25,-5.75,5.938965,2.612313
512,57.25,-5.25,5.7174683,2.6111152
513,57.25,-4.75,5.539795,2.6108568
514,57.25,-4.25,5.429009,2.6111643
515,57.25,-3.75,5.391548,2.6120884
516,57.25,-3.25,5.4193745,2.6140442
517,57.25,-2.75,5.494645,2.6177664
518,57.25,-2.25,5.5944614,2.6242085
519,57.25,-1.7500001,5.698051,2.6342363
520,57.75,-7.25,6.5793495,2.6435945
521,57.75,-6.75,6.3766947,2.6304023
522,57.75,-6.2500005,6.1615067,2.622358
523,57.75,-5.75,5.9445868,2.6177814
524,57.75,-5.25,5.746002,2.6153116
525,57.75,-4.75,5.5924354,2.6141195
526,57.75,-4.25,5.502042,2.613875
527,57.75,-3.75,5.4756813,2.6146767
528,57.75,-3.25,5.5021544,2.616962
529,57.75,-2.75,5.5648613,2.621411
530,57.75,-2.25,5.645933,2.6288166
531,57.75,-1.7500001,5.72835,2.6398776
532,58.25,-7.25,6.602273,2.6640513
533,58.25,-6.75,6.407905,2.647336
534,58.25,-6.2500005,6.2108207,2.6361842
535,58.25,-5.25,5.85165,2.6241946
536,58.25,-4.75,5.7220116,2.6213224
537,58.25,-4.25,5.6442013,2.6200397
538,58.25,-3.75,5.6178756,2.620426
539,58.25,-3.25,5.6323557,2.6229122
540,58.25,5.75,3.9210806,2.676753
541,58.25,6.2500005,3.5801282,2.674272
542,58.25,6.75,3.2563248,2.679299
543,58.25,7.25,2.971036,2.6927216
544,58.25,7.75,2.735734,2.715401
545,58.75,-5.25,5.9979544,2.6416967
546,58.75,-4.75,5.887299,2.6363735
547,58.75,-4.25,5.814822,2.6333673
548,58.75,-3.75,5.780012,2.6326988
549,58.75,-3.25,5.7750225,2.6347542
550,58.75,-2.75,5.7882056,2.6401272
551,58.75,5.75,3.5540648,2.6721087
552,58.75,6.2500005,3.1708298,2.6708288
553,58.75,6.75,2.8125134,2.677518
554,58.75,7.25,2.50807,2.6928637
555,58.75,7.75,2.270833,2.7176478
556,59.25,-3.25,5.9097333,2.6565764
557,59.25,-2.75,5.896768,2.6611288
558,59.25,5.25,3.6312118,2.6867642
559,59.25,5.75,3.226531,2.679582
560,59.25,6.2500005,2.8140059,2.6800966
561,59.25,6.75,2.4326963,2.6888428
562,59.25,7.25,2.1162605,2.7063155
563,59.25,7.75,1.8795443,2.7331371
564,59.75,-1.25,5.8822236,2.7254457
565,59.75,5.25,3.3733072,2.7082274
566,59.75,5.75,2.9581099,2.702635
567,59.75,6.2500005,2.5400982,2.7049983
568,59.75,6.75,2.1570826,2.7157202
569,59.75,7.25,1.8405352,2.7351513
570,59.75,7.75,1.6058903,2.7636774
